Venta: 168, fecha: 2025-05-13

Prod: insert into productos_ventas 
        values ('236', '168', '1.00', '9.90', '2.9000', '5', 'Kilos', '1', '3') - trueProd: insert into productos_ventas 
        values ('336', '168', '1.00', '12.60', '3.5000', '5', 'Kilos', '1', '3') - trueProd: insert into productos_ventas 
        values ('92', '168', '1.00', '23.50', '4.4000', '5', 'Kilos', '1', '5') - trueProd: insert into productos_ventas 
        values ('129', '168', '1.00', '12.00', '4.3000', '5', 'Kilos', '1', '3') - trueProd: insert into productos_ventas 
        values ('200', '168', '1.00', '62.00', '28.5000', '5', 'Unidad', '1', '2') - trueProd: insert into productos_ventas 
        values ('30', '168', '1.00', '16.50', '5.0000', '5', 'Kilos', '1', '3') - trueProd: insert into productos_ventas 
        values ('298', '168', '1.00', '21.00', '5.8000', '5', 'Kilos', '1', '3') - trueProd: insert into productos_ventas 
        values ('383', '168', '1.00', '12.90', '3.4000', '5', 'Kilos', '1', '3') - trueProd: insert into productos_ventas 
        values ('132', '168', '1.00', '9.30', '2.5000', '5', 'Kilos', '1', '3') - trueProd: insert into productos_ventas 
        values ('288', '168', '1.00', '19.50', '5.8000', '5', 'Kilos', '1', '3') - trueProd: insert into productos_ventas 
        values ('327', '168', '1.00', '27.50', '4.8000', '5', 'Kilos', '1', '5') - trueProd: insert into productos_ventas 
        values ('120', '168', '1.00', '70.00', '6.2000', '5', 'Kilos', '1', '10') - trueProd: insert into productos_ventas 
        values ('358', '168', '1.00', '13.50', '3.5000', '5', 'Kilos', '1', '3') - true
